checkpoint,item_id,source_file,hotspot_text,null_hotspot_surprisal,overt_hotspot_surprisal,difference_score,checkpoint_step
checkpoint-1,1,1a_3rdSG.csv, mostra,11.027782440185547,11.253591537475586,-0.22580909729003906,1
checkpoint-1,2,1a_3rdSG.csv, rispetta,10.057947158813477,9.947136878967285,0.1108102798461914,1
checkpoint-1,3,1a_3rdSG.csv, richiede,10.883943557739258,10.571921348571777,0.31202220916748047,1
checkpoint-1,4,1a_3rdSG.csv, cerca,10.196395874023438,10.220850944519043,-0.02445507049560547,1
checkpoint-1,5,1a_3rdSG.csv, dura,10.223550796508789,10.56025505065918,-0.3367042541503906,1
checkpoint-1,6,1a_3rdSG.csv, disturba,10.585489273071289,10.311972618103027,0.2735166549682617,1
checkpoint-1,7,1a_3rdSG.csv, tiene,10.535859107971191,10.18375301361084,0.35210609436035156,1
checkpoint-1,8,1a_3rdSG.csv, costa,10.451272010803223,10.542647361755371,-0.09137535095214844,1
checkpoint-1,9,1a_3rdSG.csv, chiede,10.836410522460938,10.980962753295898,-0.14455223083496094,1
checkpoint-1,10,1a_3rdSG.csv, resta,10.061314582824707,10.528021812438965,-0.4667072296142578,1
checkpoint-1,11,1a_3rdSG.csv, torna,10.088678359985352,9.924352645874023,0.16432571411132812,1
checkpoint-1,12,1a_3rdSG.csv, contiente,,,,1
checkpoint-1,1,1b_3rdPL.csv, hanno,10.209205627441406,10.173063278198242,0.03614234924316406,1
checkpoint-1,2,1b_3rdPL.csv, erano,10.633797645568848,11.035327911376953,-0.40153026580810547,1
checkpoint-1,3,1b_3rdPL.csv, vogliono,10.286820411682129,10.152227401733398,0.13459300994873047,1
checkpoint-1,4,1b_3rdPL.csv, saranno,10.19607925415039,10.467704772949219,-0.2716255187988281,1
checkpoint-1,5,1b_3rdPL.csv, possono,10.052196502685547,10.334413528442383,-0.28221702575683594,1
checkpoint-1,6,1b_3rdPL.csv, non hanno,10.802597522735596,10.870076656341553,-0.06747913360595703,1
checkpoint-1,7,1b_3rdPL.csv, preferiscono,10.779756546020508,10.094082832336426,0.685673713684082,1
checkpoint-1,8,1b_3rdPL.csv, hanno,10.075770378112793,10.103568077087402,-0.027797698974609375,1
checkpoint-1,9,1b_3rdPL.csv, stanno,10.189589500427246,10.683371543884277,-0.49378204345703125,1
checkpoint-1,10,1b_3rdPL.csv, devono,10.90964126586914,10.878662109375,0.030979156494140625,1
checkpoint-1,11,1b_3rdPL.csv, erano,10.844038963317871,11.039446830749512,-0.19540786743164062,1
checkpoint-1,12,1b_3rdPL.csv, hanno,10.168326377868652,10.437376022338867,-0.26904964447021484,1
checkpoint-1,1,2a_2ndSG.csv, prendi,9.493133544921875,9.971694946289062,-0.4785614013671875,1
checkpoint-1,2,2a_2ndSG.csv, preferisci,10.926492691040039,11.202820777893066,-0.27632808685302734,1
checkpoint-1,3,2a_2ndSG.csv, usi,10.281256675720215,10.659130096435547,-0.37787342071533203,1
checkpoint-1,4,2a_2ndSG.csv, includi,10.57210890452067,10.686227480570475,-0.11411857604980469,1
checkpoint-1,5,2a_2ndSG.csv, consideri,11.256464004516602,10.32323932647705,0.9332246780395508,1
checkpoint-1,6,2a_2ndSG.csv, apprezzi,10.272577921549479,10.55750560760498,-0.2849276860555019,1
checkpoint-1,7,2a_2ndSG.csv, trovi,9.872405052185059,10.083230972290039,-0.21082592010498047,1
checkpoint-1,8,2a_2ndSG.csv, selezioni,10.452089309692383,11.148099899291992,-0.6960105895996094,1
checkpoint-1,9,2a_2ndSG.csv, impieghi,11.052855491638184,10.764813423156738,0.2880420684814453,1
checkpoint-1,10,2a_2ndSG.csv, coordini,10.70539379119873,10.47821839650472,0.22717539469400982,1
checkpoint-1,11,2a_2ndSG.csv, sostituisci,10.460530281066895,10.59978199005127,-0.139251708984375,1
checkpoint-1,12,2a_2ndSG.csv, scegli,10.220014572143555,9.916983604431152,0.30303096771240234,1
checkpoint-1,1,2b_2ndPL.csv, fate,10.068474769592285,10.19291877746582,-0.12444400787353516,1
checkpoint-1,2,2b_2ndPL.csv, studiate,10.776276588439941,10.984519958496094,-0.20824337005615234,1
checkpoint-1,3,2b_2ndPL.csv, giocate,10.563835144042969,10.510496616363525,0.05333852767944336,1
checkpoint-1,4,2b_2ndPL.csv, rispettate,10.963642120361328,10.73489761352539,0.2287445068359375,1
checkpoint-1,5,2b_2ndPL.csv, scegliete,10.341896057128906,10.426953792572021,-0.08505773544311523,1
checkpoint-1,6,2b_2ndPL.csv, confondete,10.664336681365967,10.540302753448486,0.12403392791748047,1
checkpoint-1,7,2b_2ndPL.csv, approfittate,10.3263521194458,10.223817348480225,0.10253477096557617,1
checkpoint-1,8,2b_2ndPL.csv, dimenticate,10.034306526184082,10.341512680053711,-0.3072061538696289,1
checkpoint-1,9,2b_2ndPL.csv, preferite,10.386978149414062,10.535110473632812,-0.14813232421875,1
checkpoint-1,10,2b_2ndPL.csv, imparate,10.412410736083984,10.457770347595215,-0.04535961151123047,1
checkpoint-1,11,2b_2ndPL.csv, chiedete,10.689987182617188,10.90438175201416,-0.21439456939697266,1
checkpoint-1,12,2b_2ndPL.csv, battete,10.052057266235352,10.453709602355957,-0.40165233612060547,1
checkpoint-1,1,3a_1stSg.csv, credo,10.842019081115723,10.138400077819824,0.7036190032958984,1
checkpoint-1,2,3a_1stSg.csv, penso,10.65380859375,10.851936340332031,-0.19812774658203125,1
checkpoint-1,3,3a_1stSg.csv, capisco,10.54996395111084,10.282468795776367,0.26749515533447266,1
checkpoint-1,4,3a_1stSg.csv, accetto,10.514100074768066,10.285154342651367,0.22894573211669922,1
checkpoint-1,5,3a_1stSg.csv, apprezzo,10.734443664550781,11.146284103393555,-0.41184043884277344,1
checkpoint-1,6,3a_1stSg.csv, confermo,10.562792778015137,10.484519004821777,0.07827377319335938,1
checkpoint-1,7,3a_1stSg.csv, spero,10.218918800354004,10.669267654418945,-0.4503488540649414,1
